O*NET-SOC Code,Title,Task ID,Task,Demand Type,Justification
33-9094.00,School Bus Monitors,23089,Guide the driver when the bus is moving in reverse gear.,Bounded,"This is a safety-specific operational task tied to the physical movement of the bus, where completing it more efficiently does not create additional demand for reversing maneuvers."
35-3023.01,Baristas,17584,"Check temperatures of freezers, refrigerators, or heating equipment to ensure proper functioning.",Bounded,"Temperature monitoring is a routine safety compliance task with a fixed frequency, meaning increased efficiency simply reduces the labor required to meet the standard rather than creating more work."
19-3011.00,Economists,21106,Explain economic impact of policies to the public.,Unbounded,"Increasing the efficiency of communicating complex economic data allows for a more informed public and deeper analysis of a continuous stream of new policies, where the demand for clarity and insight is virtually limitless."
39-3091.00,Amusement and Recreation Attendants,5129,"Tend amusement booths in parks, carnivals, or stadiums, performing duties, such as conducting games, photographing patrons, or awarding prizes.",Bounded,"The demand for tending amusement booths is strictly limited by the physical capacity of the venue and the number of patrons present, meaning increased efficiency does not generate additional work."
17-2051.02,Water/Wastewater Engineers,21166,Evaluate the operation and maintenance of water or wastewater systems to identify ways to improve their efficiency.,Unbounded,"Improving the efficiency and sustainability of critical water infrastructure provides continuous societal value, as there is a persistent demand for better resource management and modernized public utilities."
29-2011.04,Histotechnologists,22784,"Operate computerized laboratory equipment to dehydrate, decalcify, or microincinerate tissue samples.",Unbounded,"Increasing the efficiency of tissue sample processing allows for a higher volume of diagnostic testing and medical research, addressing a vast and continuous demand for healthcare insights."
15-1253.00,Software Quality Assurance Analysts and Testers,21681,"Recommend purchase of equipment to control dust, temperature, or humidity in area of system installation.",Bounded,"This task is a discrete logistical requirement for system setup, where once the environmental controls are recommended and implemented, the demand is fully satisfied."
23-1022.00,"Arbitrators, Mediators, and Conciliators",13001,"Rule on exceptions, motions, or admissibility of evidence.",Adversarial,This task occurs within a zero-sum legal framework where increased efficiency in processing motions often leads to a higher volume of tactical filings as parties compete to gain a procedural advantage.
41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",8124,"Perform administrative duties, such as preparing sales budgets and reports, keeping sales records, and filing expense account reports.",Bounded,"Administrative tasks like filing reports and keeping records have a fixed requirement per sales cycle, and completing them more efficiently simply reduces the time spent on overhead rather than generating more administrative work."
11-3021.00,Computer and Information Systems Managers,975,"Meet with department heads, managers, supervisors, vendors, and others, to solicit cooperation and resolve problems.",Unbounded,Efficiently resolving organizational friction and securing cooperation allows IT managers to tackle a virtually limitless backlog of technological improvements and strategic initiatives that drive organizational value.
29-1131.00,Veterinarians,4119,"Direct the overall operations of animal hospitals, clinics, or mobile services to farms.",Unbounded,"Increasing the efficiency of veterinary operations allows for more animals to be treated and higher standards of care to be implemented, addressing a vast and persistent demand for animal health services."
29-1299.01,Naturopathic Physicians,18416,"Treat minor cuts, abrasions, or contusions.",Unbounded,"Efficiency in treating minor injuries allows healthcare providers to allocate more time to other patients or more complex medical needs, addressing the nearly infinite demand for improved health outcomes."
51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,23982,"Weigh ingredients, such as dye, to be mixed together for use in textile processing.",Bounded,"The amount of dye to be weighed is strictly limited by the volume of textiles being processed, so increased efficiency simply reduces the time needed to complete a fixed workload."
43-3051.00,Payroll and Timekeeping Clerks,2515,Process and issue employee paychecks and statements of earnings and deductions.,Bounded,"The number of paychecks to be processed is strictly limited by the size of the workforce, meaning increased efficiency reduces the labor required rather than generating additional demand for the task."
51-6031.00,Sewing Machine Operators,12150,"Position items under needles, using marks on machines, clamps, templates, or cloth as guides.",Bounded,This is a routine manual task in a production process where efficiency gains primarily reduce the labor time required to meet a fixed production quota rather than creating new demand for the activity.
25-9031.00,Instructional Coordinators,22439,"Assess effectiveness and efficiency of instruction according to ease of instructional technology use and student learning, knowledge transfer, and satisfaction.",Unbounded,"Enhancing student learning and knowledge transfer provides continuous societal value with no clear upper limit, as there is an infinite demand for more effective and efficient educational outcomes."
